year,sex,age,ethnicity,population
2001,both,65-69,indian,26.6
2001,both,65-69,other_citizen,3
2001,both,65-69,other_noncitizen,8.9
2001,both,70-74,overall,275.8
2001,both,70-74,bumi_malay,132.1
2001,both,70-74,bumi_other,24.6
2001,both,70-74,chinese,92.8
2001,both,70-74,indian,16.7
2001,both,70-74,other_citizen,2.3
2001,both,70-74,other_noncitizen,7.2
2001,both,75-79,overall,152.9
2001,both,75-79,bumi_malay,72.6
2001,both,75-79,bumi_other,14.2
2001,both,75-79,chinese,50.5
2001,both,75-79,indian,9.2
2001,both,75-79,other_citizen,1.5
2001,both,75-79,other_noncitizen,5
2001,both,80-84,overall,88.6
2001,both,80-84,bumi_malay,42.5
2001,both,80-84,bumi_other,7.1
2001,both,80-84,chinese,29.4
2001,both,80-84,indian,4.7
2001,both,80-84,other_citizen,0.9
2001,both,80-84,other_noncitizen,3.9
2001,both,85+,overall,67.7
2001,both,85+,bumi_malay,30.9
2001,both,85+,bumi_other,5.2
2001,both,85+,chinese,24
2001,both,85+,indian,3.2
2001,both,85+,other_citizen,0.6
2001,both,85+,other_noncitizen,3.6
2001,female,overall,overall,11773.1
2001,female,overall,bumi_malay,5976
2001,female,overall,bumi_other,1301.1
2001,female,overall,chinese,2851.4
2001,female,overall,indian,858.9
2001,female,overall,other_citizen,137.1
2001,female,overall,other_noncitizen,648.6
2001,female,0-4,overall,1359.7
2001,female,0-4,bumi_malay,759.8
2001,female,0-4,bumi_other,165.4
2001,female,0-4,chinese,265.1
2001,female,0-4,indian,90.7
2001,female,0-4,other_citizen,21.8
2001,female,0-4,other_noncitizen,56.9
2001,female,09-May,overall,1299.7
2001,female,09-May,bumi_malay,732.5
2001,female,09-May,bumi_other,167.1
2001,female,09-May,chinese,247.8
2001,female,09-May,indian,85.1
2001,female,09-May,other_citizen,19.8
2001,female,09-May,other_noncitizen,47.5
2001,female,14-Oct,overall,1262.2
2001,female,14-Oct,bumi_malay,702
2001,female,14-Oct,bumi_other,157.8
2001,female,14-Oct,chinese,252
2001,female,14-Oct,indian,85.1
2001,female,14-Oct,other_citizen,17.3
2001,female,14-Oct,other_noncitizen,48.1
2001,female,15-19,overall,1189.2
2001,female,15-19,bumi_malay,642.7
2001,female,15-19,bumi_other,144.9
2001,female,15-19,chinese,248.6
2001,female,15-19,indian,82.9
2001,female,15-19,other_citizen,14.7
2001,female,15-19,other_noncitizen,55.3
2001,female,20-24,overall,1056.8
2001,female,20-24,bumi_malay,517.9
2001,female,20-24,bumi_other,121.1
2001,female,20-24,chinese,233
2001,female,20-24,indian,77.7
2001,female,20-24,other_citizen,11.6
2001,female,20-24,other_noncitizen,95.6
2001,female,25-29,overall,961.9
2001,female,25-29,bumi_malay,440.9
2001,female,25-29,bumi_other,105.1
2001,female,25-29,chinese,224.5
2001,female,25-29,indian,73.3
2001,female,25-29,other_citizen,9.7
2001,female,25-29,other_noncitizen,108.5
2001,female,30-34,overall,914.5
2001,female,30-34,bumi_malay,426.3
2001,female,30-34,bumi_other,98.5
2001,female,30-34,chinese,228.6
2001,female,30-34,indian,70.8
2001,female,30-34,other_citizen,9.5
2001,female,30-34,other_noncitizen,80.9
2001,female,35-39,overall,834.3
2001,female,35-39,bumi_malay,392
2001,female,35-39,bumi_other,86.9
2001,female,35-39,chinese,221.7
2001,female,35-39,indian,66.4
2001,female,35-39,other_citizen,8.6
2001,female,35-39,other_noncitizen,58.7
2001,female,40-44,overall,724.8
2001,female,40-44,bumi_malay,343
2001,female,40-44,bumi_other,67.3
2001,female,40-44,chinese,209.2
2001,female,40-44,indian,61.6
2001,female,40-44,other_citizen,6.8
2001,female,40-44,other_noncitizen,36.9
2001,female,45-49,overall,604.3
2001,female,45-49,bumi_malay,286.7
2001,female,45-49,bumi_other,51.3
2001,female,45-49,chinese,187.1
2001,female,45-49,indian,52.7
2001,female,45-49,other_citizen,5.2
2001,female,45-49,other_noncitizen,21.3
2001,female,50-54,overall,448.2
2001,female,50-54,bumi_malay,209.8
2001,female,50-54,bumi_other,38.6
2001,female,50-54,chinese,147.3
2001,female,50-54,indian,36.1
2001,female,50-54,other_citizen,3.7
2001,female,50-54,other_noncitizen,12.7
2001,female,55-59,overall,328.3
2001,female,55-59,bumi_malay,152
2001,female,55-59,bumi_other,29
2001,female,55-59,chinese,113.9
2001,female,55-59,indian,24.2
2001,female,55-59,other_citizen,2.6
2001,female,55-59,other_noncitizen,6.7
2001,female,60-64,overall,268.5
2001,female,60-64,bumi_malay,125.1
2001,female,60-64,bumi_other,24.1
2001,female,60-64,chinese,92.2
2001,female,60-64,indian,19.8
2001,female,60-64,other_citizen,1.9
2001,female,60-64,other_noncitizen,5.4
2001,female,65-69,overall,203.4
2001,female,65-69,bumi_malay,94.7
2001,female,65-69,bumi_other,18.7
2001,female,65-69,chinese,69.7
2001,female,65-69,indian,14.8
2001,female,65-69,other_citizen,1.3
2001,female,65-69,other_noncitizen,4.1
2001,female,70-74,overall,145.1
2001,female,70-74,bumi_malay,70.4
2001,female,70-74,bumi_other,12.2
2001,female,70-74,chinese,49.3
2001,female,70-74,indian,8.6
2001,female,70-74,other_citizen,1.1
2001,female,70-74,other_noncitizen,3.5
2001,female,75-79,overall,82.1
2001,female,75-79,bumi_malay,38.6
2001,female,75-79,bumi_other,6.9
2001,female,75-79,chinese,28.6
2001,female,75-79,indian,4.8
2001,female,75-79,other_citizen,0.7
