state,year,sex,ethnicity,population
Johor,2022,both,bumi_malay,2208.6
Johor,2022,both,bumi_other,58.3
Johor,2022,both,chinese,1210.1
Johor,2022,both,indian,244.7
Johor,2022,both,other_citizen,19
Johor,2022,both,other_noncitizen,287.6
Johor,2022,female,overall,1890
Johor,2022,female,bumi_malay,1087.8
Johor,2022,female,bumi_other,27.4
Johor,2022,female,chinese,591.1
Johor,2022,female,indian,122
Johor,2022,female,other_citizen,7.7
Johor,2022,female,other_noncitizen,54.1
Johor,2022,male,overall,2138.2
Johor,2022,male,bumi_malay,1120.7
Johor,2022,male,bumi_other,30.9
Johor,2022,male,chinese,619
Johor,2022,male,indian,122.7
Johor,2022,male,other_citizen,11.3
Johor,2022,male,other_noncitizen,233.5
Johor,2023,both,overall,4107.2
Johor,2023,both,bumi_malay,2233.8
Johor,2023,both,bumi_other,59.3
Johor,2023,both,chinese,1211.1
Johor,2023,both,indian,245.8
Johor,2023,both,other_citizen,19.3
Johor,2023,both,other_noncitizen,337.9
Johor,2023,female,overall,1914.8
Johor,2023,female,bumi_malay,1100.7
Johor,2023,female,bumi_other,27.9
Johor,2023,female,chinese,592.2
Johor,2023,female,indian,122.7
Johor,2023,female,other_citizen,7.9
Johor,2023,female,other_noncitizen,63.5
Johor,2023,male,overall,2192.4
Johor,2023,male,bumi_malay,1133.1
Johor,2023,male,bumi_other,31.4
Johor,2023,male,chinese,618.9
Johor,2023,male,indian,123.1
Johor,2023,male,other_citizen,11.5
Johor,2023,male,other_noncitizen,274.4
Johor,2024,both,overall,4184.4
Johor,2024,both,bumi_malay,2257.2
Johor,2024,both,bumi_other,60.4
Johor,2024,both,chinese,1212.2
Johor,2024,both,indian,247.1
Johor,2024,both,other_citizen,19.6
Johor,2024,both,other_noncitizen,387.9
Johor,2024,female,overall,1938.7
Johor,2024,female,bumi_malay,1112.6
Johor,2024,female,bumi_other,28.4
Johor,2024,female,chinese,593.3
Johor,2024,female,indian,123.5
Johor,2024,female,other_citizen,8
Johor,2024,female,other_noncitizen,72.9
Johor,2024,male,overall,2245.6
Johor,2024,male,bumi_malay,1144.6
Johor,2024,male,bumi_other,31.9
Johor,2024,male,chinese,618.9
Johor,2024,male,indian,123.6
Johor,2024,male,other_citizen,11.6
Johor,2024,male,other_noncitizen,315
Johor,2025,both,overall,4205.9
Johor,2025,both,bumi_malay,2277.7
Johor,2025,both,bumi_other,61.3
Johor,2025,both,chinese,1213.7
Johor,2025,both,indian,248.1
Johor,2025,both,other_citizen,19.9
Johor,2025,both,other_noncitizen,385.1
Johor,2025,female,overall,1951.4
Johor,2025,female,bumi_malay,1123
Johor,2025,female,bumi_other,28.9
Johor,2025,female,chinese,594.8
Johor,2025,female,indian,124.2
Johor,2025,female,other_citizen,8.2
Johor,2025,female,other_noncitizen,72.4
Johor,2025,male,overall,2254.5
Johor,2025,male,bumi_malay,1154.7
Johor,2025,male,bumi_other,32.4
Johor,2025,male,chinese,619
Johor,2025,male,indian,124
Johor,2025,male,other_citizen,11.7
Johor,2025,male,other_noncitizen,312.7
Kedah,2000,both,overall,1671.9
Kedah,2000,both,bumi_malay,1256.2
Kedah,2000,both,bumi_other,2.6
Kedah,2000,both,chinese,244.7
Kedah,2000,both,indian,117.9
Kedah,2000,both,other_citizen,24
Kedah,2000,both,other_noncitizen,26.6
Kedah,2000,female,overall,841.5
Kedah,2000,female,bumi_malay,633.4
Kedah,2000,female,bumi_other,1.4
Kedah,2000,female,chinese,120
Kedah,2000,female,indian,60
Kedah,2000,female,other_citizen,12.1
Kedah,2000,female,other_noncitizen,14.8
Kedah,2000,male,overall,830.4
Kedah,2000,male,bumi_malay,622.8
Kedah,2000,male,bumi_other,1.3
Kedah,2000,male,chinese,124.7
Kedah,2000,male,indian,57.9
Kedah,2000,male,other_citizen,11.9
Kedah,2000,male,other_noncitizen,11.8
Kedah,2001,both,overall,1703.9
Kedah,2001,both,bumi_malay,1279.3
Kedah,2001,both,bumi_other,2.8
Kedah,2001,both,chinese,246.9
Kedah,2001,both,indian,120
Kedah,2001,both,other_citizen,24.1
Kedah,2001,both,other_noncitizen,30.8
Kedah,2001,female,overall,855.8
Kedah,2001,female,bumi_malay,644.2
Kedah,2001,female,bumi_other,1.4
Kedah,2001,female,chinese,121.1
Kedah,2001,female,indian,61.1
Kedah,2001,female,other_citizen,12.1
Kedah,2001,female,other_noncitizen,15.8
Kedah,2001,male,overall,848.2
Kedah,2001,male,bumi_malay,635
Kedah,2001,male,bumi_other,1.4
Kedah,2001,male,chinese,125.9
Kedah,2001,male,indian,58.9
Kedah,2001,male,other_citizen,12
Kedah,2001,male,other_noncitizen,15
Kedah,2002,both,overall,1734.8
Kedah,2002,both,bumi_malay,1301.7
Kedah,2002,both,bumi_other,3
Kedah,2002,both,chinese,248.7
Kedah,2002,both,indian,122
Kedah,2002,both,other_citizen,24.2
Kedah,2002,both,other_noncitizen,35.1
Kedah,2002,female,overall,869.4
Kedah,2002,female,bumi_malay,654.9
Kedah,2002,female,bumi_other,1.5
Kedah,2002,female,chinese,122
Kedah,2002,female,indian,62.1
Kedah,2002,female,other_citizen,12.2
Kedah,2002,female,other_noncitizen,16.7
Kedah,2002,male,overall,865.3
Kedah,2002,male,bumi_malay,646.8
Kedah,2002,male,bumi_other,1.5
Kedah,2002,male,chinese,126.8
Kedah,2002,male,indian,59.9
Kedah,2002,male,other_citizen,12
Kedah,2002,male,other_noncitizen,18.3
Kedah,2003,both,overall,1763.7
Kedah,2003,both,bumi_malay,1322.6
Kedah,2003,both,bumi_other,3.1
Kedah,2003,both,chinese,250.3
Kedah,2003,both,indian,124
Kedah,2003,both,other_citizen,24.4
Kedah,2003,both,other_noncitizen,39.3
Kedah,2003,female,overall,882.1
Kedah,2003,female,bumi_malay,664.7
Kedah,2003,female,bumi_other,1.6
Kedah,2003,female,chinese,122.7
Kedah,2003,female,indian,63.1
Kedah,2003,female,other_citizen,12.3
Kedah,2003,female,other_noncitizen,17.7
Kedah,2003,male,overall,881.6
Kedah,2003,male,bumi_malay,657.9
Kedah,2003,male,bumi_other,1.6
Kedah,2003,male,chinese,127.6
Kedah,2003,male,indian,60.8
Kedah,2003,male,other_citizen,12.1
Kedah,2003,male,other_noncitizen,21.6
Kedah,2004,both,overall,1792.4
Kedah,2004,both,bumi_malay,1343.4
Kedah,2004,both,bumi_other,3.3
Kedah,2004,both,chinese,251.6
Kedah,2004,both,indian,126
Kedah,2004,both,other_citizen,24.5
Kedah,2004,both,other_noncitizen,43.6
Kedah,2004,female,overall,895
Kedah,2004,female,bumi_malay,674.7
Kedah,2004,female,bumi_other,1.6
Kedah,2004,female,chinese,123.4
Kedah,2004,female,indian,64.3
Kedah,2004,female,other_citizen,12.3
Kedah,2004,female,other_noncitizen,18.7
Kedah,2004,male,overall,897.4
Kedah,2004,male,bumi_malay,668.7
Kedah,2004,male,bumi_other,1.7
Kedah,2004,male,chinese,128.2
Kedah,2004,male,indian,61.8
Kedah,2004,male,other_citizen,12.2
Kedah,2004,male,other_noncitizen,24.9
Kedah,2005,both,overall,1820.3
Kedah,2005,both,bumi_malay,1363.7
Kedah,2005,both,bumi_other,3.5
Kedah,2005,both,chinese,252.8
Kedah,2005,both,indian,127.9
Kedah,2005,both,other_citizen,24.6
Kedah,2005,both,other_noncitizen,47.8
Kedah,2005,female,overall,907.3
Kedah,2005,female,bumi_malay,684.5
Kedah,2005,female,bumi_other,1.7
Kedah,2005,female,chinese,123.9
Kedah,2005,female,indian,65.2
Kedah,2005,female,other_citizen,12.3
Kedah,2005,female,other_noncitizen,19.7
Kedah,2005,male,overall,913
Kedah,2005,male,bumi_malay,679.3
Kedah,2005,male,bumi_other,1.8
Kedah,2005,male,chinese,128.8
Kedah,2005,male,indian,62.7
Kedah,2005,male,other_citizen,12.3
Kedah,2005,male,other_noncitizen,28.1
Kedah,2006,both,overall,1847.5
Kedah,2006,both,bumi_malay,1383.6
Kedah,2006,both,bumi_other,3.7
Kedah,2006,both,chinese,253.7
Kedah,2006,both,indian,129.7
Kedah,2006,both,other_citizen,24.7
Kedah,2006,both,other_noncitizen,52.1
Kedah,2006,female,overall,919.3
Kedah,2006,female,bumi_malay,693.9
Kedah,2006,female,bumi_other,1.8
Kedah,2006,female,chinese,124.4
Kedah,2006,female,indian,66.1
Kedah,2006,female,other_citizen,12.4
Kedah,2006,female,other_noncitizen,20.6
Kedah,2006,male,overall,928.2
Kedah,2006,male,bumi_malay,689.7
Kedah,2006,male,bumi_other,1.9
Kedah,2006,male,chinese,129.3
Kedah,2006,male,indian,63.6
Kedah,2006,male,other_citizen,12.3
Kedah,2006,male,other_noncitizen,31.4
Kedah,2007,both,overall,1874.2
Kedah,2007,both,bumi_malay,1403.2
Kedah,2007,both,bumi_other,3.9
Kedah,2007,both,chinese,254.6
Kedah,2007,both,indian,131.4
Kedah,2007,both,other_citizen,24.8
Kedah,2007,both,other_noncitizen,56.3
Kedah,2007,female,overall,931
Kedah,2007,female,bumi_malay,703.3
Kedah,2007,female,bumi_other,1.9
Kedah,2007,female,chinese,124.8
Kedah,2007,female,indian,67
Kedah,2007,female,other_citizen,12.4
Kedah,2007,female,other_noncitizen,21.6
Kedah,2007,male,overall,943.1
Kedah,2007,male,bumi_malay,699.8
Kedah,2007,male,bumi_other,2
Kedah,2007,male,chinese,129.8
Kedah,2007,male,indian,64.4
Kedah,2007,male,other_citizen,12.4
Kedah,2007,male,other_noncitizen,34.7
Kedah,2008,both,overall,1900.2
Kedah,2008,both,bumi_malay,1422.2
Kedah,2008,both,bumi_other,4.1
Kedah,2008,both,chinese,255.4
Kedah,2008,both,indian,133.1
Kedah,2008,both,other_citizen,24.8
Kedah,2008,both,other_noncitizen,60.5
Kedah,2008,female,overall,942.4
Kedah,2008,female,bumi_malay,712.5
Kedah,2008,female,bumi_other,2
Kedah,2008,female,chinese,125.2
Kedah,2008,female,indian,67.8
Kedah,2008,female,other_citizen,12.4
Kedah,2008,female,other_noncitizen,22.6
Kedah,2008,male,overall,957.8
Kedah,2008,male,bumi_malay,709.7
Kedah,2008,male,bumi_other,2.1
Kedah,2008,male,chinese,130.2
Kedah,2008,male,indian,65.3
Kedah,2008,male,other_citizen,12.4
Kedah,2008,male,other_noncitizen,37.9
Kedah,2009,both,overall,1925.3
Kedah,2009,both,bumi_malay,1441.8
Kedah,2009,both,bumi_other,4.4
Kedah,2009,both,chinese,256.2
Kedah,2009,both,indian,134.8
Kedah,2009,both,other_citizen,23.4
Kedah,2009,both,other_noncitizen,64.7
Kedah,2009,female,overall,953.3
Kedah,2009,female,bumi_malay,721.7
Kedah,2009,female,bumi_other,2.1
Kedah,2009,female,chinese,125.5
Kedah,2009,female,indian,68.7
Kedah,2009,female,other_citizen,11.7
Kedah,2009,female,other_noncitizen,23.5
Kedah,2009,male,overall,972
